;Name;Revenue;Lost profit;Sales;Balance;Turnover days;Frozen stocks percent;Base price;Basic Sale;Basic Sale Price;Price with WB wallet;SPP;Median price;Comments Valuation;Comments;Days in website;Search cpm avg
0;Крем для лица увлажняющий питательный с ниацинамидом;20726465;3345094,03;17169;4798;88;49,04;3199;60;1261;1223;0;1307;4,9;4642;457;898
1;Крем для лица увлажняющий питательный с ниацинамидом;11354246;517572,47;9429;1575;59;23,24;3199;58;1331;1291;0;1279;4,9;4642;457;469
2;Витамины комплекс для здоровья и красоты 60 шт;10529249;417590,61;12879;280;8;0;2018;62;751;728;0;776;4,9;4009;532;1264
3;Гель для умывания лица увлажняющий;10391305;891561,67;7720;1856;81;44,61;3199;55;1424;1381;0;1471;4,9;1295;454;668
4;Сыворотка для лица увлажняющая и питательная от морщин;10092443;282701,48;8187;2097;91;50,79;3199;58;1331;1291;0;1311;4,9;1622;485;1323
5;Тоник для лица от прыщей очищающий;9449201;4821814,5;6664;2081;76;40,7;3199;55;1424;1381;0;1247;4,9;1037;457;659
6;Крем для лица увлажняющий антивозрастной с пептидами 2 шт;5350208;10744270,16;2641;430;20;0;4402;55;1960;1901;0;2091;4,9;4642;128;0
7;Коллаген морской капсулы для кожи 90 шт;4547415;101335,15;7397;1301;63;28,75;1199;51;586;568;0;630;4,8;6487;747;627
8;Витамины для мужчин комплекс для здоровья иммунитета 60 шт;4191227;22965,63;6023;253;15;0;1199;38;735;712;0;696;4,9;4009;532;1746
9;Набор косметики для ухода увлажняющий;3813480;2042365,86;1411;171;29;0;6000;57;2540;2463;0;3088;4,9;748;320;0
10;Витаминный комплекс триптофан в капсулах;3696324;10099,25;6508;452;25;0;1199;52;568;550;0;575;4,8;6487;888;818
11;Косметический набор для ухода за лицом увлажняющий 3 шт;3614477;6434864,36;1468;17;2;0;6000;56;2584;2506;0;2469;4,9;748;137;0
12;Витамины для похудения и иммунитета;3387702;461482,63;6017;884;47;5,2;1476;62;549;532;0;570;4,8;6487;888;811
13;Витамин Д3 2000 капсулы для иммунитета;3368558;46527,04;6155;608;36;0;1450;65;497;482;0;564;4,9;1500;888;545
14;Витамины комплекс для здоровья кожи и волос бад в таблетках;3361113;214331,84;4802;1888;136;66,84;1999;75;481;466;0;719;4,9;4009;527;261
15;Глюкозамин хондроитин мсм для суставов и связок таблетки;2921712;177329,34;3801;0;0;0;2099;20;1679;1628;0;772;4,9;548;540;0
16;Железо витамины капсулы для иммунитета;2862044;156261,02;5037;478;33;0;1199;47;630;611;0;560;4,8;6487;888;1013
17;Витамины селен в капсулах для иммунитета;2483176;456583,97;4552;590;40;0;1500;66;503;487;0;564;4,8;6487;888;824
18;Косметический набор для ухода за лицом увлажняющий 3 шт;2320030;5637456,07;949;0;0;0;6000;57;2540;2463;0;2465,5;4,9;748;127;0
19;Витаминный комплекс для женщин, капсулы;2162153;317566,22;3646;612;54;16,18;1199;41;700;679;0;580;4,8;734;888;0
20;Спрей для волос термозащита несмываемый для расчесывания;2127290;3698944,55;1484;763;69;34,73;3199;60;1261;1223;0;1471;4,9;162;133;1052
21;Магний цитрат с витамином в6 в капсулах, 90 шт;2126862;260166,61;3386;256;25;0;1726;54;781;757;0;629;4,9;1528;888;668
22;Пилинг для кожи головы и волос с кислотами;2037168;7080400,98;1382;677;40;0;3000;54;1357;1316;0;1533;5;70;84;467
23;Витамины комплекс для здоровья и красоты 90 шт;1958218;6914201,83;2386;63;2;0;1999;56;860;834;0;817;4,9;4009;80;0
24;Молочко для тела и ухода за кожей увлажняющее питательное;1917715;3496141,96;1329;551;54;16,52;3199;60;1261;1223;0;1473;4,9;133;129;470
25;Витамин Д3 5000 таблетки для иммунитета;1825466;139185,09;2613;61;8;0;1720;62;640;620;0;730;4,9;1500;424;0
26;Магний В6 цитрат БАД в капсулах 600 мг 120 шт;1764295;679087,13;2425;282;31;0;1982;54;911;883;0;720;4,9;1528;500;639
27;Витамины группы B  таблетки, комплекс;1749794;133415,38;3016;141;16;0;1868;66;627;608;0;563;4,8;6487;888;0
28;Омега 3 капсулы, витаминный комплекс 180 шт;1705223;1392880,17;2157;0;0;0;1999;27;1459;1415;0;787,5;4,9;1957;517;0
29;Омега 3 капсулы, витаминный комплекс, 60 шт;1610001;359566,89;2790;452;49;7,3;1249;27;911;883;0;563;4,9;1957;888;0
30;Косметический набор для ухода за лицом очищающий 2 шт;1590339;4553391,66;798;0;0;0;5168;61;1989;1929;0;1999;4,8;649;136;0
31;Крем для лица увлажняющий питательный для сияния кожи;1571447;6222080,69;1017;1068;78;42,13;3199;51;1564;1517;0;1586;4,9;4642;73;0
32;Кальций Д3 витаминный комплекс, капсулы;1536001;25529,1;2805;365;47;4,11;1199;56;516;500;0;549;4,9;1349;888;0
33;Омега 3 капсулы, витаминный комплекс, 120 шт;1505947;511142,59;2062;365;48;7,12;1599;51;770;746;0;733;4,9;1957;517;0
34;Сыворотка для лица от прыщей и акне уходовая матирующая;1352920;2352465,37;886;530;80;43,77;3199;54;1447;1403;0;1562;4,9;1622;133;1152
35;Сыворотка для лица увлажняющая с ретинолом и коллагеном;1304355;2969736,83;871;458;59;23,58;3199;54;1447;1403;0;1556,5;4,9;1622;111;1181
36;Коллаген порошок питьевой для суставов с витамином C;1196519;19886,74;1596;53;12;0;1660;50;823;798;0;805;4,9;752;482;0
37;Крем для лица увлажняющий питательный и сыворотка от прыщей;1192527;3319405,05;573;247;42;0;4499;53;2101;2037;0;2108;4,9;4642;101;0
